"Date","CPN2M"
1997-01-01,5.29
1997-02-01,5.27
1997-03-01,5.37
1997-04-01,5.53
1997-05-01,5.54
1997-06-01,5.51
1997-07-01,5.48
1997-08-01,5.47
1997-09-01,5.48
1997-10-01,5.48
1997-11-01,5.59
1997-12-01,5.71
1998-01-01,5.44
1998-02-01,5.44
1998-03-01,5.49
1998-04-01,5.48
1998-05-01,5.49
1998-06-01,5.5
1998-07-01,5.5
1998-08-01,5.5
1998-09-01,5.37
1998-10-01,5.08
1998-11-01,5.14
1998-12-01,5.12
1999-01-01,4.78
1999-02-01,4.8
1999-03-01,4.82
1999-04-01,4.78
1999-05-01,4.8
1999-06-01,4.98
1999-07-01,5.08
1999-08-01,5.23
1999-09-01,5.29
1999-10-01,5.3
1999-11-01,5.82
1999-12-01,5.91
2000-01-01,5.67
2000-02-01,5.81
2000-03-01,5.96
2000-04-01,6.06
2000-05-01,6.47
2000-06-01,6.55
2000-07-01,6.5
2000-08-01,6.48
2000-09-01,6.47
2000-10-01,6.48
2000-11-01,6.52
2000-12-01,6.42
2001-01-01,5.59
2001-02-01,5.25
2001-03-01,4.87
2001-04-01,4.54
2001-05-01,3.98
2001-06-01,3.73
2001-07-01,3.63
2001-08-01,3.47
2001-09-01,2.87
2001-10-01,2.3
2001-11-01,2
2001-12-01,1.79
2002-01-01,1.69
2002-02-01,1.76
2002-03-01,1.82
2002-04-01,1.77
2002-05-01,1.76
2002-06-01,1.74
2002-07-01,1.74
2002-08-01,1.7
2002-09-01,1.72
2002-10-01,1.7
2002-11-01,1.35
2002-12-01,1.32
2003-01-01,1.26
2003-02-01,1.25
2003-03-01,1.2
2003-04-01,1.21
2003-05-01,1.2
2003-06-01,1.03
2003-07-01,1.02
2003-08-01,1.03
2003-09-01,1.03
2003-10-01,1.02
2003-11-01,1.05
2003-12-01,1.05
2004-01-01,1.01
2004-02-01,1.01
2004-03-01,1
2004-04-01,1.01
2004-05-01,1.04
2004-06-01,1.22
2004-07-01,1.38
2004-08-01,1.53
2004-09-01,1.71
2004-10-01,1.86
2004-11-01,2.09
2004-12-01,2.26
2005-01-01,2.4
2005-02-01,2.56
2005-03-01,2.74
2005-04-01,2.92
2005-05-01,3.04
2005-06-01,3.18
2005-07-01,3.36
2005-08-01,3.53
2005-09-01,3.67
2005-10-01,3.9
2005-11-01,4.07
2005-12-01,4.23
2006-01-01,4.37
2006-02-01,4.5
2006-03-01,4.65
2006-04-01,4.81
2006-05-01,4.94
2006-06-01,5.13
2006-07-01,5.26
2006-08-01,5.21
2006-09-01,5.19
2006-10-01,5.18
2006-11-01,5.19
2006-12-01,5.2
2007-01-01,5.19
2007-02-01,5.19
2007-03-01,5.2
2007-04-01,5.21
2007-05-01,5.21
2007-06-01,5.23
2007-07-01,5.24
2007-08-01,5.24
2007-09-01,4.94
2007-10-01,4.66
2007-11-01,4.45
2007-12-01,4.24
2008-01-01,3.41
2008-02-01,2.75
2008-03-01,2.32
2008-04-01,2.05
2008-05-01,2.01
2008-06-01,2.15
2008-07-01,2.13
2008-08-01,2.08
2008-09-01,2.11
2008-10-01,1.82
2008-11-01,1.28
2008-12-01,0.71
2009-01-01,0.24
2009-02-01,0.39
2009-03-01,0.28
2009-04-01,0.32
2009-05-01,0.22
2009-06-01,0.21
2009-07-01,0.23
2009-08-01,0.21
2009-09-01,0.16
2009-10-01,0.14
2009-11-01,0.12
2009-12-01,0.12
2010-01-01,0.14
2010-02-01,0.13
2010-03-01,0.17
2010-04-01,0.21
2010-05-01,0.23
2010-06-01,0.24
2010-07-01,0.23
2010-08-01,0.23
2010-09-01,0.22
2010-10-01,0.21
2010-11-01,0.21
2010-12-01,0.21
2011-01-01,0.22
2011-02-01,0.21
2011-03-01,0.21
2011-04-01,0.17
2011-05-01,0.14
2011-06-01,0.14
2011-07-01,0.11
2011-08-01,0.13
2011-09-01,0.11
2011-10-01,0.1
2011-11-01,0.11
2011-12-01,0.11
2012-01-01,0.11
2012-02-01,0.13
2012-03-01,0.16
2012-04-01,0.16
2012-05-01,0.16
2012-06-01,0.17
2012-07-01,0.17
2012-08-01,0.16
2012-09-01,0.14
2012-10-01,0.15
2012-11-01,0.17
2012-12-01,0.16
2013-01-01,0.13
2013-02-01,0.14
2013-03-01,0.13
2013-04-01,0.1
2013-05-01,0.08
2013-06-01,0.09
2013-07-01,0.08
2013-08-01,0.07
2013-09-01,0.06
2013-10-01,0.09
2013-11-01,0.07
2013-12-01,0.07
2014-01-01,0.06
2014-02-01,0.08
2014-03-01,0.08
2014-04-01,0.07
2014-05-01,0.07
2014-06-01,0.08
2014-07-01,0.08
2014-08-01,0.09
2014-09-01,0.08
2014-10-01,0.08
2014-11-01,0.08
2014-12-01,0.11
2015-01-01,0.1
2015-02-01,0.09
2015-03-01,0.09
2015-04-01,0.08
2015-05-01,0.1
2015-06-01,0.1
2015-07-01,0.1
2015-08-01,0.14
2015-09-01,0.17
2015-10-01,0.14
2015-11-01,0.15
2015-12-01,0.33
2016-01-01,0.4
2016-02-01,0.42
2016-03-01,0.4
2016-04-01,0.39
2016-05-01,0.41
2016-06-01,0.43
2016-07-01,0.4
2016-08-01,0.43
2016-09-01,0.46
2016-10-01,0.5
2016-11-01,0.54
2016-12-01,0.65
2017-01-01,0.72
2017-02-01,0.7
2017-03-01,0.84
2017-04-01,0.86
2017-05-01,0.89
2017-06-01,1.06
2017-07-01,1.13
2017-08-01,1.14
2017-09-01,1.14
2017-10-01,1.17
2017-11-01,1.22
2017-12-01,1.38
2018-01-01,1.54
2018-02-01,1.61
2018-03-01,1.83
2018-04-01,1.89
2018-05-01,1.92
2018-06-01,2
2018-07-01,2.02
2018-08-01,2.02
2018-09-01,2.15
2018-10-01,2.26
2018-11-01,2.34
2018-12-01,2.48
2019-01-01,2.5
2019-02-01,2.46
2019-03-01,2.46
2019-04-01,2.45
2019-05-01,2.42
2019-06-01,2.33
2019-07-01,2.21
2019-08-01,2.07
2019-09-01,1.93
2019-10-01,1.82
2019-11-01,1.64
2019-12-01,1.64
2020-01-01,1.57
2020-02-01,1.55
2020-03-01,1.29
2020-04-01,0.61
2020-05-01,0.2
2020-06-01,0.15
2020-07-01,0.13
2020-08-01,0.1
2020-09-01,0.11
2020-10-01,0.1
2020-11-01,0.11
2020-12-01,0.1
2021-01-01,0.09
2021-02-01,0.07
2021-03-01,0.07
2021-04-01,0.05
2021-05-01,0.04
2021-06-01,0.04
2021-07-01,0.06
2021-08-01,0.06
2021-09-01,0.06
2021-10-01,0.06
2021-11-01,0.06
2021-12-01,0.1
2022-01-01,0.11
2022-02-01,0.25
2022-03-01,0.49
2022-04-01,0.61
2022-05-01,0.91
2022-06-01,1.27
2022-07-01,2.12
2022-08-01,2.46
2022-09-01,2.91
2022-10-01,3.5
2022-11-01,4.03
2022-12-01,4.31
2023-01-01,4.45
2023-02-01,4.61
2023-03-01,4.83
2023-04-01,4.8
2023-05-01,5.1
2023-06-01,5.17
2023-07-01,5.17
2023-08-01,5.33
2023-09-01,5.33
2023-10-01,5.35
2023-11-01,5.35
